corpus,bytes,arm,threads,rep,instr,cyc,real
squishy,400391411,rapidgzip,2,7,12492893636,4176742382,0.70
squishy,400391411,gzippy,4,7,6880505295,2761999380,0.24
squishy,400391411,rapidgzip,4,7,12523168001,4183432418,0.38
squishy,400391411,gzippy,8,7,6937323748,2867190503,0.15
squishy,400391411,rapidgzip,8,7,12593932538,4241507038,0.23
silesia,211968000,gzippy,1,8,2102701541,873878765,0.27
silesia,211968000,rapidgzip,1,8,5717103387,2103033457,0.65
silesia,211968000,gzippy,2,8,3956173846,1474527861,0.25
silesia,211968000,rapidgzip,2,8,6769839878,2391522595,0.40
silesia,211968000,gzippy,4,8,4013617191,1516108167,0.13
silesia,211968000,rapidgzip,4,8,6780902815,2402563577,0.22
silesia,211968000,gzippy,8,8,4044006118,1559375598,0.08
silesia,211968000,rapidgzip,8,8,6823676830,2428264901,0.15
monorepo,50915328,gzippy,1,8,348609945,143535204,0.04
monorepo,50915328,rapidgzip,1,8,1165478549,466874932,0.14
monorepo,50915328,gzippy,2,8,958571464,366813465,0.06
monorepo,50915328,rapidgzip,2,8,1629777018,585607285,0.11
monorepo,50915328,gzippy,4,8,1097991503,414134630,0.04
monorepo,50915328,rapidgzip,4,8,1777444328,631201193,0.08
monorepo,50915328,gzippy,8,8,1243775371,477497871,0.03
monorepo,50915328,rapidgzip,8,8,1881651672,676791374,0.05
nasa,205242368,gzippy,1,8,701581356,348070944,0.11
nasa,205242368,rapidgzip,1,8,2865555591,1005878307,0.31
nasa,205242368,gzippy,2,8,2545322410,941497906,0.17
nasa,205242368,rapidgzip,2,8,4707680744,1444245369,0.28
nasa,205242368,gzippy,4,8,2767828694,1026931964,0.10
nasa,205242368,rapidgzip,4,8,4952250945,1487690683,0.17
nasa,205242368,gzippy,8,8,2885854276,1073553232,0.06
nasa,205242368,rapidgzip,8,8,5164087017,1578080164,0.10
squishy,400391411,gzippy,1,8,3819159913,1764108322,0.55
squishy,400391411,rapidgzip,1,8,10671261595,3707065317,1.16
squishy,400391411,gzippy,2,8,6704161854,2645645709,0.45
squishy,400391411,rapidgzip,2,8,12490944285,4156278704,0.69
squishy,400391411,gzippy,4,8,6879901185,2768841071,0.25
squishy,400391411,rapidgzip,4,8,12521553714,4189377439,0.38
squishy,400391411,gzippy,8,8,6942385862,2880118863,0.15
squishy,400391411,rapidgzip,8,8,12593475050,4280181908,0.23
silesia,211968000,gzippy,1,9,2100409099,877962027,0.27
silesia,211968000,rapidgzip,1,9,5716189116,2115816099,0.67
silesia,211968000,gzippy,2,9,3960443838,1476286038,0.25
silesia,211968000,rapidgzip,2,9,6763897773,2385091644,0.40
