corpus,bytes,arm,threads,rep,wall_s
monorepo,50915328,gz,2,2,0.070638
monorepo,50915328,gz2,2,2,0.070014
monorepo,50915328,rg,2,2,0.123710
monorepo,50915328,ld,2,2,0.040132
monorepo,50915328,gz,2,3,0.070252
monorepo,50915328,gz2,2,3,0.069013
monorepo,50915328,rg,2,3,0.123162
monorepo,50915328,ld,2,3,0.040194
monorepo,50915328,gz,2,4,0.068696
monorepo,50915328,gz2,2,4,0.069736
monorepo,50915328,rg,2,4,0.119292
monorepo,50915328,ld,2,4,0.039440
monorepo,50915328,gz,2,5,0.071081
monorepo,50915328,gz2,2,5,0.069321
monorepo,50915328,rg,2,5,0.122063
monorepo,50915328,ld,2,5,0.040325
monorepo,50915328,gz,2,6,0.069834
monorepo,50915328,gz2,2,6,0.069506
monorepo,50915328,rg,2,6,0.119429
monorepo,50915328,ld,2,6,0.039578
monorepo,50915328,gz,2,7,0.069157
monorepo,50915328,gz2,2,7,0.069849
monorepo,50915328,rg,2,7,0.118939
monorepo,50915328,ld,2,7,0.039208
monorepo,50915328,gz,2,8,0.068984
monorepo,50915328,gz2,2,8,0.069724
monorepo,50915328,rg,2,8,0.121352
monorepo,50915328,ld,2,8,0.039696
monorepo,50915328,gz,2,9,0.069110
monorepo,50915328,gz2,2,9,0.069797
monorepo,50915328,rg,2,9,0.118656
monorepo,50915328,ld,2,9,0.039411
monorepo,50915328,gz,2,10,0.069450
monorepo,50915328,gz2,2,10,0.069499
monorepo,50915328,rg,2,10,0.120556
monorepo,50915328,ld,2,10,0.040247
monorepo,50915328,gz,2,11,0.070120
monorepo,50915328,gz2,2,11,0.069331
monorepo,50915328,rg,2,11,0.119703
monorepo,50915328,ld,2,11,0.039859
monorepo,50915328,gz,2,12,0.070243
monorepo,50915328,gz2,2,12,0.069919
monorepo,50915328,rg,2,12,0.121130
monorepo,50915328,ld,2,12,0.039919
monorepo,50915328,gz,2,13,0.069678
monorepo,50915328,gz2,2,13,0.070152
monorepo,50915328,rg,2,13,0.119965
monorepo,50915328,ld,2,13,0.040104
monorepo,50915328,gz,4,1,0.045103
monorepo,50915328,gz2,4,1,0.045820
monorepo,50915328,rg,4,1,0.082232
monorepo,50915328,ld,4,1,0.039937
monorepo,50915328,gz,4,2,0.045831
monorepo,50915328,gz2,4,2,0.046796
monorepo,50915328,rg,4,2,0.081648
monorepo,50915328,ld,4,2,0.040148
monorepo,50915328,gz,4,3,0.045580
monorepo,50915328,gz2,4,3,0.045638
monorepo,50915328,rg,4,3,0.082547
monorepo,50915328,ld,4,3,0.039492
monorepo,50915328,gz,4,4,0.045186
monorepo,50915328,gz2,4,4,0.045730
monorepo,50915328,rg,4,4,0.083788
monorepo,50915328,ld,4,4,0.039038
monorepo,50915328,gz,4,5,0.044884
monorepo,50915328,gz2,4,5,0.044949
monorepo,50915328,rg,4,5,0.083665
monorepo,50915328,ld,4,5,0.052468
monorepo,50915328,gz,4,6,0.049816
monorepo,50915328,gz2,4,6,0.044966
monorepo,50915328,rg,4,6,0.085198
monorepo,50915328,ld,4,6,0.040934
monorepo,50915328,gz,4,7,0.045780
monorepo,50915328,gz2,4,7,0.044963
monorepo,50915328,rg,4,7,0.081595
monorepo,50915328,ld,4,7,0.039957
monorepo,50915328,gz,4,8,0.046701
monorepo,50915328,gz2,4,8,0.046731
monorepo,50915328,rg,4,8,0.082382
monorepo,50915328,ld,4,8,0.039441
monorepo,50915328,gz,4,9,0.046360
monorepo,50915328,gz2,4,9,0.044820
monorepo,50915328,rg,4,9,0.082683
monorepo,50915328,ld,4,9,0.038825
monorepo,50915328,gz,4,10,0.044944
monorepo,50915328,gz2,4,10,0.046340
monorepo,50915328,rg,4,10,0.082097
monorepo,50915328,ld,4,10,0.039218
monorepo,50915328,gz,4,11,0.045259
monorepo,50915328,gz2,4,11,0.045317
monorepo,50915328,rg,4,11,0.082694
monorepo,50915328,ld,4,11,0.039742
monorepo,50915328,gz,4,12,0.044624
monorepo,50915328,gz2,4,12,0.046343
monorepo,50915328,rg,4,12,0.083315
monorepo,50915328,ld,4,12,0.038972
monorepo,50915328,gz,4,13,0.045742
monorepo,50915328,gz2,4,13,0.045582
monorepo,50915328,rg,4,13,0.081109
monorepo,50915328,ld,4,13,0.040166
monorepo,50915328,gz,8,1,0.029836
monorepo,50915328,gz2,8,1,0.030597
monorepo,50915328,rg,8,1,0.062432
monorepo,50915328,ld,8,1,0.039628
monorepo,50915328,gz,8,2,0.029774
monorepo,50915328,gz2,8,2,0.030454
monorepo,50915328,rg,8,2,0.060842
monorepo,50915328,ld,8,2,0.039456
monorepo,50915328,gz,8,3,0.030440
monorepo,50915328,gz2,8,3,0.030877
monorepo,50915328,rg,8,3,0.061575
monorepo,50915328,ld,8,3,0.039078
monorepo,50915328,gz,8,4,0.030129
monorepo,50915328,gz2,8,4,0.029734
monorepo,50915328,rg,8,4,0.062547
monorepo,50915328,ld,8,4,0.039196
monorepo,50915328,gz,8,5,0.031343
