# tri-falsifier  BIN=/dev/shm/tri-target/release/gzippy  N=15  2026-06-23T16:12:49Z
# bin-sha: f6094595848f9bd2c887c3dfaef3fde0335077644a81355f0977c0f725974cc5
cell,corpus,threads,pert,level,kind,rep,wall_s,sha,hits
T2,monorepo.gz,2,MARKER,100,sleep,4,0.293770,-,-
T2,monorepo.gz,2,RSS,20,mmap,4,0.280672,-,-
T2,monorepo.gz,2,RSS,40,mmap,4,0.294701,-,-
T2,monorepo.gz,2,RSS,60,mmap,4,0.313522,-,-
T2,monorepo.gz,2,BASE,0,base,5,0.268046,-,-
T2,monorepo.gz,2,MARKER,50,spin,5,0.319814,-,-
T2,monorepo.gz,2,MARKER,100,spin,5,0.381034,-,-
T2,monorepo.gz,2,MARKER,100,sleep,5,0.290837,-,-
T2,monorepo.gz,2,RSS,20,mmap,5,0.280591,-,-
T2,monorepo.gz,2,RSS,40,mmap,5,0.293952,-,-
T2,monorepo.gz,2,RSS,60,mmap,5,0.309948,-,-
T2,monorepo.gz,2,BASE,0,base,6,0.263623,-,-
T2,monorepo.gz,2,MARKER,50,spin,6,0.318234,-,-
T2,monorepo.gz,2,MARKER,100,spin,6,0.380814,-,-
T2,monorepo.gz,2,MARKER,100,sleep,6,0.289773,-,-
T2,monorepo.gz,2,RSS,20,mmap,6,0.282938,-,-
T2,monorepo.gz,2,RSS,40,mmap,6,0.296293,-,-
T2,monorepo.gz,2,RSS,60,mmap,6,0.310680,-,-
T2,monorepo.gz,2,BASE,0,base,7,0.265441,-,-
T2,monorepo.gz,2,MARKER,50,spin,7,0.317480,-,-
T2,monorepo.gz,2,MARKER,100,spin,7,0.382973,-,-
T2,monorepo.gz,2,MARKER,100,sleep,7,0.291270,-,-
T2,monorepo.gz,2,RSS,20,mmap,7,0.280198,-,-
T2,monorepo.gz,2,RSS,40,mmap,7,0.295511,-,-
T2,monorepo.gz,2,RSS,60,mmap,7,0.311002,-,-
T2,monorepo.gz,2,BASE,0,base,8,0.266401,-,-
T2,monorepo.gz,2,MARKER,50,spin,8,0.319439,-,-
T2,monorepo.gz,2,MARKER,100,spin,8,0.382567,-,-
T2,monorepo.gz,2,MARKER,100,sleep,8,0.288622,-,-
T2,monorepo.gz,2,RSS,20,mmap,8,0.282154,-,-
T2,monorepo.gz,2,RSS,40,mmap,8,0.295659,-,-
T2,monorepo.gz,2,RSS,60,mmap,8,0.311826,-,-
T2,monorepo.gz,2,BASE,0,base,9,0.265998,-,-
T2,monorepo.gz,2,MARKER,50,spin,9,0.317772,-,-
T2,monorepo.gz,2,MARKER,100,spin,9,0.383866,-,-
T2,monorepo.gz,2,MARKER,100,sleep,9,0.291687,-,-
T2,monorepo.gz,2,RSS,20,mmap,9,0.281080,-,-
T2,monorepo.gz,2,RSS,40,mmap,9,0.296556,-,-
T2,monorepo.gz,2,RSS,60,mmap,9,0.309784,-,-
T2,monorepo.gz,2,BASE,0,base,10,0.268968,-,-
T2,monorepo.gz,2,MARKER,50,spin,10,0.319457,-,-
T2,monorepo.gz,2,MARKER,100,spin,10,0.380604,-,-
T2,monorepo.gz,2,MARKER,100,sleep,10,0.290881,-,-
T2,monorepo.gz,2,RSS,20,mmap,10,0.284353,-,-
T2,monorepo.gz,2,RSS,40,mmap,10,0.299887,-,-
T2,monorepo.gz,2,RSS,60,mmap,10,0.310757,-,-
T2,monorepo.gz,2,BASE,0,base,11,0.266945,-,-
T2,monorepo.gz,2,MARKER,50,spin,11,0.320338,-,-
