nasa,thin,10,423105481,913190197,3521,0.337811,205242368
nasa,thin,11,425175268,913245316,3524,0.343842,205242368
nasa,thin,12,461190142,913514897,3520,0.366259,205242368
nasa,thin,13,423928166,913244242,3522,0.337714,205242368
nasa,thin,14,433298140,913239201,3522,0.344526,205242368
nasa,thin,15,427869928,913353173,3520,0.341536,205242368
nasa,thin,16,431378161,913619210,3522,0.346518,205242368
nasa,igzip,1,324813337,755091127,609,0.265235,205242368
nasa,igzip,2,325536863,755124568,609,0.265091,205242368
nasa,igzip,3,323754547,755140556,610,0.263940,205242368
nasa,igzip,4,323244033,754988509,609,0.265429,205242368
nasa,igzip,5,322802787,755064954,609,0.263150,205242368
nasa,igzip,6,323504517,754960684,610,0.263705,205242368
nasa,igzip,7,322682873,754916973,609,0.262487,205242368
nasa,igzip,8,329682532,754893577,608,0.268346,205242368
nasa,igzip,9,323426741,754968432,608,0.264286,205242368
nasa,igzip,10,322886669,754795616,606,0.263190,205242368
nasa,igzip,11,336802557,755001559,611,0.273632,205242368
nasa,igzip,12,320963663,754812345,611,0.261046,205242368
nasa,igzip,13,322704226,755340397,608,0.265609,205242368
nasa,igzip,14,322666705,754985018,609,0.263283,205242368
nasa,igzip,15,325378370,754994017,608,0.265146,205242368
nasa,igzip,16,324440292,755026736,612,0.264536,205242368
monorepo,mono,1,196989489,435948047,2817,0.187129,50915328
monorepo,mono,2,196680873,435820419,2816,0.172977,50915328
monorepo,mono,3,197793887,435845057,2816,0.174094,50915328
monorepo,mono,4,197677499,435967449,2814,0.174034,50915328
monorepo,mono,5,197604835,436002858,2814,0.175425,50915328
monorepo,mono,6,196861414,435966502,2817,0.174999,50915328
monorepo,mono,7,216673454,435902243,2817,0.188370,50915328
monorepo,mono,8,197572794,435723103,2817,0.177222,50915328
monorepo,mono,9,197419958,435916031,2817,0.174888,50915328
monorepo,mono,10,197173065,435960376,2819,0.174748,50915328
monorepo,mono,11,196545766,435970339,2817,0.174296,50915328
monorepo,mono,12,196626225,435754481,2816,0.174515,50915328
monorepo,mono,13,196626660,435804036,2815,0.174153,50915328
monorepo,mono,14,198599575,435615180,2818,0.175138,50915328
monorepo,mono,15,198833389,435807765,2816,0.174532,50915328
monorepo,mono,16,200658885,435794346,2817,0.176414,50915328
monorepo,thin,1,197464339,437383202,2987,0.175342,50915328
monorepo,thin,2,198138533,437617607,2986,0.176150,50915328
monorepo,thin,3,197895600,437434521,2986,0.183164,50915328
monorepo,thin,4,197807121,437275476,2987,0.175040,50915328
monorepo,thin,5,198440671,437664979,2987,0.175914,50915328
monorepo,thin,6,205518893,437507420,2986,0.198633,50915328
monorepo,thin,7,208836747,437613429,2984,0.182785,50915328
monorepo,thin,8,197516732,437232860,2983,0.175227,50915328
monorepo,thin,9,198168152,437395455,2989,0.175770,50915328
monorepo,thin,10,198538349,437403744,2987,0.175487,50915328
monorepo,thin,11,204827827,437236039,2988,0.204843,50915328
monorepo,thin,12,199704487,437451052,2987,0.177758,50915328
monorepo,thin,13,199652168,437354910,2987,0.176271,50915328
monorepo,thin,14,211257328,437300629,2985,0.184741,50915328
monorepo,thin,15,205190186,437267915,2987,0.190820,50915328
monorepo,thin,16,202770876,437372426,2987,0.195520,50915328
monorepo,igzip,1,150355457,346970349,612,0.140086,50915328
monorepo,igzip,2,151932053,346973003,608,0.140836,50915328
monorepo,igzip,3,153017664,346971440,608,0.141012,50915328
monorepo,igzip,4,153295935,346911382,609,0.140850,50915328
monorepo,igzip,5,153720354,346929665,611,0.141861,50915328
monorepo,igzip,6,153641552,346992422,609,0.160634,50915328
monorepo,igzip,7,152733127,347038959,609,0.140804,50915328
monorepo,igzip,8,152684201,347001620,608,0.140583,50915328
monorepo,igzip,9,151283879,347046204,610,0.141035,50915328
monorepo,igzip,10,152649251,347152656,611,0.140838,50915328
monorepo,igzip,11,152761594,347079070,611,0.141387,50915328
monorepo,igzip,12,152483802,347154421,609,0.141068,50915328
monorepo,igzip,13,167113913,347128513,609,0.160861,50915328
monorepo,igzip,14,152255078,347143714,607,0.141866,50915328
monorepo,igzip,15,149483307,347062259,608,0.139015,50915328
monorepo,igzip,16,150095301,347167566,610,0.138928,50915328
squishy,mono,1,2107745948,5894813071,5178,1.567124,400391411
squishy,mono,2,2107855440,5894851562,5182,1.544388,400391411
squishy,mono,3,2126941610,5894563039,5178,1.558713,400391411
squishy,mono,4,2111506819,5894904681,5180,1.547686,400391411
squishy,mono,5,2120843851,5895195262,5179,1.553354,400391411
squishy,mono,6,2118962096,5895417010,5179,1.553103,400391411
squishy,mono,7,2116255020,5894769262,5182,1.549823,400391411
